"ID","Sex","Twin","Horn","BirthYear","BirthWt","DaysSinceBirth","MumID","MumAge","PopSize","IGF1","PlateNumber","ELISARunDate","StorageTime","CapHour_Tertiles","Weight","ForeLeg","HornLen","BredAsAYearling","Survival"
10714,1,0,2,2016,NA,83,9075,3,444,442.8408862,5,"8/3/2024",7,NA,NA,NA,NA,0,0
10579,1,0,2,2016,1.600000024,116,8756,4,444,333.78261135,5,"8/3/2024",7,"Evening",14.45,113,NA,1,0
10540,2,0,1,2016,2.650000095,117,8718,4,444,390.65308095,5,"8/3/2024",7,"Evening",18.15,120,NA,0,0
10640,2,0,3,2016,2.349999905,103,6938,8,444,534.95113605,5,"8/3/2024",7,"Afternoon",12.6,114,85,0,0
10642,1,0,2,2016,2.099999905,101,7262,7,444,402.3049743,5,"8/3/2024",7,"Morning",13.15,105,NA,0,1
10556,1,1,2,2016,1.809999943,110,7576,6,444,366.03272485,5,"8/3/2024",7,"Morning",9.6,102,NA,0,0
10541,2,0,3,2016,2.700000048,111,6777,9,444,348.99345815,5,"8/3/2024",7,"Morning",15.35,112,79,0,0
11067,1,0,3,2016,NA,108,11076,NA,444,522.479586,5,"8/3/2024",7,NA,13.2,110,87,0,0
10542,2,0,3,2016,2.75,111,8240,5,444,536.6087694,5,"8/3/2024",7,"Afternoon",15.8,120,147,0,1
10558,1,0,3,2016,2.640000105,110,7476,6,444,439.8252394,5,"8/3/2024",7,"Afternoon",12.25,113,72,0,0
10576,1,0,2,2016,2.410000086,114,6866,8,444,343.35014605,5,"8/3/2024",7,"Evening",13.55,111,NA,0,0
12876,2,0,3,2021,NA,121,9038,8,557,281.68610885,5,"8/3/2024",2,"Evening",12.2,110,129,0,1
12581,2,0,3,2021,2.890000105,126,11819,4,557,419.07919715,5,"8/3/2024",2,"Morning",19.8,118,187,0,0
12696,1,0,2,2021,2.059999943,111,11989,2,557,424.07124925,5,"8/3/2024",2,"Evening",11.05,106,NA,0,0
12717,2,0,3,2021,2.180000067,110,10237,6,557,387.8038214,5,"8/3/2024",2,"Afternoon",10.95,107,136,0,0
12578,2,0,3,2021,2.299999952,126,11388,NA,557,421.2645681,5,"8/3/2024",2,"Evening",13.4,112,160,0,1
12683,1,0,2,2021,2.299999952,110,7542,11,557,273.6398016,5,"8/3/2024",2,"Afternoon",10.95,106,NA,0,0
12869,2,0,3,2021,NA,124,10205,6,557,725.1565094,5,"8/3/2024",2,"Afternoon",10.65,113,68,0,0
12874,1,0,3,2021,NA,129,10114,NA,557,366.7228445,5,"8/3/2024",2,"Evening",14.05,110,92,1,1
12711,1,0,2,2021,1.950000048,110,11581,3,557,372.06716,5,"8/3/2024",2,"Afternoon",11.05,108,NA,1,1
12596,1,0,3,2021,2.630000114,123,11568,3,557,333.1186736,5,"8/3/2024",2,"Evening",14.55,113,100,1,1
12660,1,0,3,2021,2.720000029,114,9216,8,557,362.7000584,5,"8/3/2024",2,"Afternoon",13.2,104,96,0,1
